"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"WP_PROSTAGLANDIN_SIGNALING","WP_PROSTAGLANDIN_SIGNALING",28,0.838337276666536,2.23208475798435,4.60826661068996e-09,1.29610177650429e-07,9.74899389218669e-08,1256,"tags=68%, list=8%, signal=63%","CXCL10/CXCL9/IFNG/IL6/CCL3/MMP9/IL1B/KLRD1/CCR2/NLRP3/CD28/PTGER4/CXCL8/PIK3CG/TNF/IRF7/CCL2/IL1A/PTGER2"
"DER_IFN_BETA_RESPONSE_UP","DER_IFN_BETA_RESPONSE_UP",100,0.649848159008919,2.15650870021424,5.01308159305082e-09,1.40343075894344e-07,1.0556299007589e-07,2804,"tags=49%, list=18%, signal=41%","IFIT3/IL6/IFITM1/GBP1/OASL/OAS2/IFI30/PLAUR/STAT1/IFI6/IRF1/ISG15/NMI/PSMB10/HLA-A/PSMB9/TAP1/B2M/OAS1/IFI44/PARP4/FOSL1/BST2/PLSCR1/HLA-C/SP110/TRIM22/HIF1A/PSMB8/CASP8/TRIM21/IRF9/PSME1/IFI35/C1S/TRIM14/MX1/MX2/ARID3A/PML/IFIT5/CEBPD/IFI16/IFIT2/TRAPPC10/HLA-E/LIPA/ATP6V0B/IFIT1"
"GHANDHI_BYSTANDER_IRRADIATION_UP","GHANDHI_BYSTANDER_IRRADIATION_UP",73,0.687395398009949,2.19392810791418,5.45080336905279e-09,1.51894045956969e-07,1.14251376947257e-07,1837,"tags=51%, list=12%, signal=45%","MMP1/CXCL10/MMP3/MMP10/CD69/IL1B/CXCL5/BCL2A1/CXCL3/MT1H/SOD2/KYNU/GCH1/SLC39A14/BIRC3/POPDC3/MT1G/GPR68/SLC39A8/CXCL8/DUSP5/TNFAIP3/SAT1/INHBA/IL1A/NAMPT/GADD45G/RELB/NAMPTP1/POU2F2/SLC7A11/PTGS2/MCTP1/IRAK3/STC1/PHEX/C2CD4B"
"HADDAD_T_LYMPHOCYTE_AND_NK_PROGENITOR_DN","HADDAD_T_LYMPHOCYTE_AND_NK_PROGENITOR_DN",56,0.718932210105848,2.20676114024334,5.96724208784445e-09,1.65522536262364e-07,1.24502429075692e-07,2243,"tags=61%, list=14%, signal=52%","JCHAIN/S100A8/LYZ/CCL3/CD7/LY86/PLEK/RNASE6/CST7/TRGC1/TYROBP/CCR7/IL7R/HCK/IRF8/GPR183/LTB/MME/MS4A6A/ITGB7/TNF/HGF/RRM2/RAB31/LGMN/CSF1R/NPTX2/SLC2A5/LEF1/NRXN2/VCAN/IL6R/CEBPD/ZWINT"
"REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS","REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS",23,0.862076819473532,2.18125118968726,6.47112391309635e-09,1.78679846130108e-07,1.34399069591393e-07,1618,"tags=87%, list=10%, signal=78%","HLA-DRB3/LCK/CD247/CD3G/CD3D/PTPRC/HLA-DRA/HLA-DQA1/HLA-DPA1/HLA-DRB1/CD3E/TRBV7-9/PTPN22/HLA-DPB1/PTPRJ/HLA-DQB1/TRAV8-4/CD4/PAG1/CSK"
"KEGG_CELL_ADHESION_MOLECULES_CAMS","KEGG_CELL_ADHESION_MOLECULES_CAMS",118,0.614589501177595,2.07631214932268,6.71551278445518e-09,1.84585026398184e-07,1.38840816945602e-07,1126,"tags=40%, list=7%, signal=37%","CD80/ICOS/CD8A/HLA-DRB3/VCAM1/CD274/PDCD1/CD40LG/ITGB2/CD8B/SIGLEC1/CD226/PDCD1LG2/PTPRC/ICAM1/HLA-DOA/CD86/HLA-DRA/SELL/ITGAL/HLA-DQA1/HLA-DPA1/HLA-DMB/ICAM3/ITGA4/HLA-DRB1/CD28/HLA-F/HLA-DPB1/SELPLG/HLA-A/HLA-DMA/HLA-DOB/HLA-G/ITGAM/ITGB7/CD2/SELE/CD6/HLA-DQB1/CD4/CD22/HLA-B/SDC3/CD40/SPN/HLA-C"
"RODWELL_AGING_KIDNEY_DN","RODWELL_AGING_KIDNEY_DN",122,-0.538621375408476,-2.16056366413667,6.95105370632457e-09,1.9019466860699e-07,1.43060267039907e-07,2946,"tags=40%, list=19%, signal=33%","CEP70/DBT/FOLH1/SLC16A7/PEBP1/WDFY2/RTN4/ZNF711/BCKDHB/OXCT1/ABTB2/FMO5/NAA35/DCBLD2/CCNB1IP1/WNK1/CRABP1/NEDD4L/ABCA5/PHYH/TPD52/FAXDC2/SLC22A23/CPEB3/YOD1/VSIG10/CIZ1/KANK1/GHR/SELENBP1/C1orf226/MPPED2/SLC4A1/TSPAN7/PTGER3/ESRRG/PRKAA2/PALM/B4GALNT3/FAM83F/LARGE2/PEG3/NEBL/ARFGEF3/GPRASP1/LPL/CLDN8/BMP7/PCLO"
"BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN","BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN",154,-0.499656001174149,-2.05045032638975,7.55118015105063e-09,2.05684623303618e-07,1.54711471942578e-07,3652,"tags=45%, list=23%, signal=35%","EXTL2/MXRA7/MSRB3/UACA/CHMP3/GTF2I/ZBTB43/EPHA3/PDE5A/ZFYVE1/PDGFD/ITGB5/NPR2/TTC3/AGPAT2/SH3PXD2A/RGS5/VSNL1/RABGAP1/OBSL1/CTNND2/LAMA2/FKBP9/RTN4/TMEM134/SORT1/COPZ2/TLN2/MAGI3/SRPX2/CAV1/ENDOD1/MBOAT2/APBA1/DLC1/NOSTRIN/KANK2/FAM210B/SPOCK1/LIMS2/SNX21/MYL9/VPS37D/ATL1/CACHD1/LGR6/PARVA/GPC1/AHNAK/TIMP3/ZNF727/KCTD1/C1orf116/PTPN14/DAAM1/SLIT3/AOC3/SMIM10L2A/BOC/PERP/ANO1/LGALSL/NPR3/ATP13A4/PTPN21/PPP1R1B/FHL1/PTPRZ1/ERBB4/EFNA3"
"IVANOVA_HEMATOPOIESIS_LATE_PROGENITOR","IVANOVA_HEMATOPOIESIS_LATE_PROGENITOR",460,0.456410735398814,1.71264345809714,8.29492460343408e-09,2.24930085546932e-07,1.69187487427136e-07,3487,"tags=34%, list=22%, signal=28%","IGLL5/FCGR1A/CSF2RB/HCST/LY86/CTSS/CLEC12A/PLEK/S1PR4/C1orf162/CCR1/IFI30/TNFAIP8L2/CCR2/SELL/TYROBP/CTSB/CYBB/TMEM156/DRAM1/PTPRO/HLA-DMB/HCK/EVI2A/C19orf38/TLR1/IRF8/CD300A/CD33/GPR160/STX11/MS4A6A/MPEG1/CCDC88B/DOK3/GTSF1/KCTD14/CTSC/SAT1/MTFP1/SOAT1/LHFPL2/SPHK1/PSTPIP2/DOCK10/BCL2L15/DFFB/FGL2/POLD1/RGS10/RARB/BTLA/RRM2/CDC6/RAB31/IPCEF1/CDC42/GMIP/HVCN1/CKLF/TSPAN33/CLEC10A/MGAM/SPC25/FCGR2B/SLFN12/MT1F/CASP1/FUT4/FTH1/EMILIN2/G6PD/SLC22A4/HPSE/BAG2/IL1RL1/TWF2/RNF130/BIRC5/ALAS1/ENO1/ESCO2/CDC25B/RAB3C/STAMBPL1/R3HCC1L/ERO1A/RAB32/CX3CR1/MOB3A/NSDHL/IL13RA1/SEMA4D/ALDH1A1/BMP2K/ITGA1/HP/RNASEH2B/MTHFD1L/HAX1/LRRC20/KCTD7/POMK/SLC31A2/HSD11B1/NECAP2/ASF1B/ANKRD22/ZEB2/TROAP/NCOA4/CPOX/RGCC/ATP6V0E1/C18orf32/PRDX3/USF1/ATP6V0B/FNDC3B/ASAP1/TMEM165/KCNJ2/COL5A1/LTA4H/GAK/SORL1/AP1S2/F13A1/GALNT10/NPTN/CLP1/DNA2/ERMAP/RAP1A/CLDN15/SLC15A4/CABLES2/COMMD5/PPIL1/CCNB1/SLC38A5/ACER3/ACOT9/CHAC1/CKAP2L/CTSG/EAF1/TFRC/NUF2/TMEM216/ATP6V1C1/LMAN1/MFSD14A/GSR/BAZ1A/KTI12/SAP30/FAM107B"
"JIANG_MELANOMA_TRM11_CD8","JIANG_MELANOMA_TRM11_CD8",45,0.760608310753357,2.23344138415015,8.42698690920814e-09,2.26486557148916e-07,1.70358231300509e-07,2241,"tags=64%, list=14%, signal=55%","IFNG/CCL4/CD8A/CCL4L2/NKG7/ABI3/CCL5/FASLG/CTSW/GPR15/GZMM/CD8B/CD244/AOAH/KLRD1/XCL1/THEMIS/TMIGD2/XCL2/PTGER4/ALOX5AP/PTGER2/CKLF/NR4A3/ITM2C/RUNX3/GADD45B/ITGA1/TNFSF9"
